epoch,lr-AdamW,step,train_acc,train_iou,train_loss,train_precision,train_sensitivity,train_specificity,val_acc,val_iou,val_loss,val_precision,val_sensitivity,val_specificity
,0.0001,0,,,,,,,,,,,,
0,,17,,,,,,,0.7925458550453186,0.4328679144382477,2.5749430656433105,0.7447725534439087,0.508263885974884,0.9211841225624084
0,,17,0.586294949054718,0.42944398522377014,1.3744776248931885,0.4394623339176178,0.949591338634491,0.4090394079685211,,,,,,
,0.0001,18,,,,,,,,,,,,
1,,35,,,,,,,0.8669882416725159,0.6662670373916626,1.1639996767044067,0.7531712055206299,0.8523839116096497,0.8735967874526978
1,,35,0.7697428464889526,0.5720487236976624,0.9427562355995178,0.5942801237106323,0.9386193752288818,0.6873464584350586,,,,,,
,0.0001,36,,,,,,,,,,,,
2,,53,,,,,,,0.8998706340789795,0.7369013428688049,0.8388051986694336,0.8024437427520752,0.9002192616462708,0.899712860584259
2,,53,0.783316433429718,0.5866764783859253,0.931956946849823,0.6103725433349609,0.9379339218139648,0.7078770995140076,,,,,,
,0.0001,54,,,,,,,,,,,,
3,,71,,,,,,,0.8286809325218201,0.6321282982826233,0.7610043883323669,0.6562952399253845,0.9449538588523865,0.7760671973228455
3,,71,0.8039960265159607,0.6158754825592041,0.7698668837547302,0.6328141093254089,0.9583483338356018,0.7286862134933472,,,,,,
,0.0001,72,,,,,,,,,,,,
4,,89,,,,,,,0.8519194722175598,0.6627860069274902,0.7468372583389282,0.6952158808708191,0.9342472553253174,0.8146659135818481
4,,89,0.8098472356796265,0.623275876045227,0.772770881652832,0.6401631832122803,0.9593944549560547,0.7368817925453186,,,,,,
,0.0001,90,,,,,,,,,,,,
5,,107,,,,,,,0.9025077819824219,0.7487079501152039,0.6995683312416077,0.7916861772537231,0.9323944449424744,0.8889840245246887
5,,107,0.8563171625137329,0.6842100024223328,0.7173153162002563,0.7101239562034607,0.9493659138679504,0.810917854309082,,,,,,
,0.0001,108,,,,,,,,,,,,
6,,125,,,,,,,0.9173962473869324,0.7741508483886719,0.8528469204902649,0.8392965793609619,0.9088728427886963,0.9212530851364136
6,,125,0.8308297991752625,0.6486299633979797,0.7971671223640442,0.6703894138336182,0.9523440599441528,0.7715418934822083,,,,,,
,0.0001,126,,,,,,,,,,,,
7,,143,,,,,,,0.854485809803009,0.6680942177772522,0.7054522633552551,0.6977385878562927,0.9402089715003967,0.8156958222389221
7,,143,0.8520607352256775,0.6757352352142334,0.8473947644233704,0.7061094641685486,0.9401514530181885,0.8090806007385254,,,,,,
,0.0001,144,,,,,,,,,,,,
8,,161,,,,,,,0.8845041394233704,0.7123402953147888,0.8604925274848938,0.7607053518295288,0.9180595278739929,0.869320273399353
8,,161,0.8468652963638306,0.6743857264518738,0.6353663206100464,0.6901701092720032,0.9671996831893921,0.7881531119346619,,,,,,
,0.0001,162,,,,,,,,,,,,
9,,179,,,,,,,0.8152731657028198,0.6069669723510742,0.9843522906303406,0.6428810954093933,0.9157186150550842,0.7698214054107666
9,,179,0.8317362070083618,0.6531569361686707,0.6761553287506104,0.6683812737464905,0.966301679611206,0.7660806179046631,,,,,,
,0.0001,180,,,,,,,,,,,,
10,,197,,,,,,,0.8754398226737976,0.7005302906036377,0.8023293614387512,0.7362087965011597,0.9352964758872986,0.8483545780181885
10,,197,0.8363338112831116,0.6580424904823303,0.7250948548316956,0.6763662695884705,0.9604581594467163,0.7757724523544312,,,,,,
,0.0001,198,,,,,,,,,,,,
11,,215,,,,,,,0.9091374278068542,0.7567434906959534,0.9201893210411072,0.8201311826705933,0.9073301553726196,0.9099552035331726
11,,215,0.8520732522010803,0.6811060905456543,0.6511579155921936,0.6991442441940308,0.9635026454925537,0.797705888748169,,,,,,
,5e-05,216,,,,,,,,,,,,
12,,233,,,,,,,0.8976945877075195,0.7405136823654175,0.7025302052497864,0.7792052030563354,0.9371589422225952,0.879836916923523
12,,233,0.8641636371612549,0.6986851692199707,0.6673603057861328,0.7193328142166138,0.9605386257171631,0.8171414136886597,,,,,,
,5e-05,234,,,,,,,,,,,,
13,,251,,,,,,,0.9107015132904053,0.7615960836410522,0.8406897187232971,0.8190230131149292,0.915696382522583,0.9084413051605225
13,,251,0.8656418323516846,0.7023438811302185,0.594960629940033,0.7197021245956421,0.9668000340461731,0.8162859082221985,,,,,,
,5e-05,252,,,,,,,,,,,,
14,,269,,,,,,,0.8925974369049072,0.7293046116828918,0.7084274888038635,0.7724676728248596,0.9288357496261597,0.87619948387146
14,,269,0.8755634427070618,0.7180485725402832,0.5543666481971741,0.7364233136177063,0.9664183259010315,0.8312345743179321,,,,,,
,5e-05,270,,,,,,,,,,,,
15,,287,,,,,,,0.9065871834754944,0.7526297569274902,0.8329164981842041,0.8113322854042053,0.9122973084449768,0.904003381729126
15,,287,0.8809255361557007,0.7256032228469849,0.6173008680343628,0.7480831146240234,0.9602331519126892,0.8422305583953857,,,,,,
