epoch,lr-AdamW,step,train_acc,train_iou,train_loss,train_precision,train_sensitivity,train_specificity,val_acc,val_iou,val_loss,val_precision,val_sensitivity,val_specificity
17,,35,,,,,,,0.9131243824958801,0.014758161269128323,0.03258739411830902,0.4470618665218353,0.015032554976642132,0.9982379674911499
17,,35,0.9215345978736877,0.11074431240558624,0.03135726600885391,0.634966254234314,0.11827429383993149,0.9938763976097107,,,,,,
,0.0001,36,,,,,,,,,,,,
18,,37,,,,,,,0.9132034778594971,0.016084255650639534,0.03212052956223488,0.46265357732772827,0.016390446573495865,0.9981958866119385
18,,37,0.9227297902107239,0.1133883073925972,0.031042827293276787,0.6855488419532776,0.11960912495851517,0.9950590133666992,,,,,,
,0.0001,38,,,,,,,,,,,,
19,,39,,,,,,,0.9133617281913757,0.01932721585035324,0.03179236873984337,0.489840030670166,0.019724244251847267,0.9980531334877014
19,,39,0.9231959581375122,0.12938296794891357,0.029969368129968643,0.6709187626838684,0.1381502002477646,0.9938973784446716,,,,,,
,0.0001,40,,,,,,,,,,,,
20,,41,,,,,,,0.9137000441551208,0.022948497906327248,0.031548283994197845,0.5353233814239502,0.02341492287814617,0.9980737566947937
20,,41,0.9246432185173035,0.1417953073978424,0.028983337804675102,0.7058742642402649,0.1506991684436798,0.9943447709083557,,,,,,
,0.0001,42,,,,,,,,,,,,
21,,43,,,,,,,0.9143232107162476,0.029241763055324554,0.031219571828842163,0.6042695641517639,0.029812680557370186,0.9981496930122375
21,,43,0.9255442023277283,0.14198525249958038,0.028748827055096626,0.7477095127105713,0.14912982285022736,0.995468258857727,,,,,,
,0.0001,44,,,,,,,,,,,,
22,,45,,,,,,,0.9153653383255005,0.04062353074550629,0.03057471662759781,0.6846120357513428,0.04139827936887741,0.998192548751831
22,,45,0.9263764023780823,0.15794003009796143,0.028768004849553108,0.7415352463722229,0.16714125871658325,0.9947533011436462,,,,,,
,0.0001,46,,,,,,,,,,,,
23,,47,,,,,,,0.9163222908973694,0.049262434244155884,0.030229397118091583,0.7499022483825684,0.05008530244231224,0.9984169602394104
23,,47,0.9276517033576965,0.1679374873638153,0.027772480621933937,0.771246075630188,0.1767410933971405,0.9952788949012756,,,,,,
,0.0001,48,,,,,,,,,,,,
24,,49,,,,,,,0.9176854491233826,0.06255900114774704,0.029827995225787163,0.8158012628555298,0.06345531344413757,0.9986421465873718
24,,49,0.9297895431518555,0.19918523728847504,0.02697094902396202,0.7755404710769653,0.21137049794197083,0.9944905042648315,,,,,,
,0.0001,50,,,,,,,,,,,,
25,,51,,,,,,,0.9188631772994995,0.07493191212415695,0.029744306579232216,0.8520074486732483,0.07592006027698517,0.9987502098083496
25,,51,0.9302082657814026,0.22303931415081024,0.027500232681632042,0.7354398369789124,0.24249573051929474,0.9921437501907349,,,,,,
,0.0001,52,,,,,,,,,,,,
26,,53,,,,,,,0.9208087921142578,0.09733913093805313,0.0291903018951416,0.8800963163375854,0.0986473336815834,0.9987263083457947
26,,53,0.9333853125572205,0.2470249980688095,0.026129046455025673,0.7888616919517517,0.26451361179351807,0.9936240315437317,,,,,,
,0.0001,54,,,,,,,,,,,,
