epoch,lr-AdamW,step,train_acc,train_iou,train_loss,train_precision,train_sensitivity,train_specificity,val_acc,val_iou,val_loss,val_precision,val_sensitivity,val_specificity
,0.0001,0,,,,,,,,,,,,
0,,17,,,,,,,0.7936232089996338,0.4386630058288574,2.476893186569214,0.7418552041053772,0.5176835060119629,0.9184865355491638
0,,17,0.6002768278121948,0.4347303509712219,1.4007600545883179,0.44771072268486023,0.9374784231185913,0.4357531666755676,,,,,,
,0.0001,18,,,,,,,,,,,,
1,,35,,,,,,,0.8573192358016968,0.622546911239624,1.6762080192565918,0.7797373533248901,0.7553888559341431,0.9034429788589478
1,,35,0.7679309248924255,0.5695103406906128,0.9583887457847595,0.5924842357635498,0.9362543225288391,0.6858043670654297,,,,,,
,0.0001,36,,,,,,,,,,,,
2,,53,,,,,,,0.9024195671081543,0.7257975935935974,1.2438163757324219,0.8534921407699585,0.829092800617218,0.9356001019477844
2,,53,0.7686033844947815,0.5721950531005859,0.910765528678894,0.5923675894737244,0.9438282251358032,0.6831095814704895,,,,,,
,0.0001,54,,,,,,,,,,,,
3,,71,,,,,,,0.8987154960632324,0.7342435121536255,0.95734703540802,0.8008549809455872,0.8982462882995605,0.8989277482032776
3,,71,0.8346127271652222,0.6411920785903931,1.0428613424301147,0.6896184086799622,0.9012926816940308,0.8020790815353394,,,,,,
,0.0001,72,,,,,,,,,,,,
4,,89,,,,,,,0.8546333312988281,0.6675904989242554,0.7456255555152893,0.6988945603370667,0.9371253252029419,0.8173055052757263
4,,89,0.7838165163993835,0.5931761860847473,0.8326464295387268,0.6077067255973816,0.9612525105476379,0.697243869304657,,,,,,
,0.0001,90,,,,,,,,,,,,
5,,107,,,,,,,0.877193033695221,0.698716402053833,0.8759934902191162,0.7477466464042664,0.9142066836357117,0.8604443073272705
5,,107,0.8536164164543152,0.6789103746414185,0.7580474019050598,0.7074686884880066,0.9438785910606384,0.8095767498016357,,,,,,
,0.0001,108,,,,,,,,,,,,
6,,125,,,,,,,0.891789436340332,0.722679853439331,0.8621903657913208,0.7818766832351685,0.905170202255249,0.8857345581054688
6,,125,0.8165980577468872,0.6343758702278137,0.7025578022003174,0.6468908190727234,0.9704058170318604,0.7415538430213928,,,,,,
,0.0001,126,,,,,,,,,,,,
7,,143,,,,,,,0.8889734148979187,0.7238286733627319,0.7401872873306274,0.7627993822097778,0.9340716600418091,0.8685663938522339
7,,143,0.837256908416748,0.6575128436088562,0.772423267364502,0.679652214050293,0.9527966976165771,0.7808840274810791,,,,,,
,0.0001,144,,,,,,,,,,,,
8,,161,,,,,,,0.9139319062232971,0.7639304399490356,0.9228074550628662,0.83999103307724,0.8940299153327942,0.9229376316070557
8,,161,0.8346421122550964,0.6538025736808777,0.7618029117584229,0.6759258508682251,0.952325165271759,0.777223527431488,,,,,,
,0.0001,162,,,,,,,,,,,,
9,,179,,,,,,,0.9034489989280701,0.747376561164856,0.7950937747955322,0.8016844987869263,0.9168927073478699,0.8973656892776489
9,,179,0.8332085609436035,0.6557980179786682,0.6766610741615295,0.6698043942451477,0.9690988659858704,0.7669064998626709,,,,,,
,0.0001,180,,,,,,,,,,,,
10,,197,,,,,,,0.8912915587425232,0.722639262676239,0.8478034734725952,0.7788838148117065,0.9091505408287048,0.8832103610038757
10,,197,0.8414923548698425,0.6650614142417908,0.7009125351905823,0.6841135025024414,0.9598082304000854,0.7837650179862976,,,,,,
,0.0001,198,,,,,,,,,,,,
