epoch,lr-AdamW,step,train_acc,train_iou,train_loss,train_precision,train_sensitivity,train_specificity,val_acc,val_iou,val_loss,val_precision,val_sensitivity,val_specificity
,0.0001,0,,,,,,,,,,,,
0,,17,,,,,,,0.697033703327179,0.05786101147532463,0.07826824486255646,0.6495233774185181,0.059725724160671234,0.9854170083999634
0,,17,0.6945159435272217,0.4283134341239929,0.14367063343524933,0.5257651209831238,0.6979589462280273,0.6928360462188721,,,,,,
,0.0001,18,,,,,,,,,,,,
1,,35,,,,,,,0.7658126354217529,0.2641688883304596,0.06029713526368141,0.9258906245231628,0.2698752284049988,0.9902254343032837
1,,35,0.8637511730194092,0.6389630436897278,0.04740135744214058,0.8297789692878723,0.7353506684303284,0.9263989329338074,,,,,,
,0.0001,36,,,,,,,,,,,,
2,,53,,,,,,,0.8369993567466736,0.4858749210834503,0.05232216417789459,0.9654555320739746,0.4944712221622467,0.9919941425323486
2,,53,0.8688762784004211,0.6533481478691101,0.043496325612068176,0.8307698369026184,0.7536506652832031,0.9250959157943726,,,,,,
,0.0001,54,,,,,,,,,,,,
3,,71,,,,,,,0.891977846622467,0.6674427390098572,0.03668718785047531,0.942241370677948,0.695915162563324,0.9806966781616211
3,,71,0.8702363967895508,0.6393250226974487,0.04157468304038048,0.8783259391784668,0.7014490962028503,0.952589213848114,,,,,,
,0.0001,72,,,,,,,,,,,,
4,,89,,,,,,,0.9005010724067688,0.6934491991996765,0.03628656640648842,0.94522625207901,0.7224812507629395,0.981055498123169
4,,89,0.8837085366249084,0.7000911831855774,0.038013212382793427,0.8193801641464233,0.827848494052887,0.9109631180763245,,,,,,
,0.0001,90,,,,,,,,,,,,
5,,107,,,,,,,0.9146862030029297,0.7412084937095642,0.03216252475976944,0.9309297800064087,0.7843425273895264,0.9736670255661011
5,,107,0.8955392837524414,0.7065008878707886,0.03444294631481171,0.8998072743415833,0.7668257355690002,0.9583396911621094,,,,,,
,0.0001,108,,,,,,,,,,,,
6,,125,,,,,,,0.8932574391365051,0.670931339263916,0.038750410079956055,0.9442690014839172,0.6985946297645569,0.9813427925109863
6,,125,0.8984067440032959,0.729077935218811,0.034993693232536316,0.8531079888343811,0.8337426781654358,0.9299569129943848,,,,,,
,0.0001,126,,,,,,,,,,,,
7,,143,,,,,,,0.9063494801521301,0.7101028561592102,0.03365851566195488,0.9522042274475098,0.7363489270210266,0.9832751154899597
7,,143,0.8937782645225525,0.7046610116958618,0.03515239804983139,0.8886871933937073,0.7728770971298218,0.952767014503479,,,,,,
,0.0001,144,,,,,,,,,,,,
8,,161,,,,,,,0.9092784523963928,0.7183338403701782,0.035639531910419464,0.9563666582107544,0.7426737546920776,0.9846674799919128
8,,161,0.8938179612159729,0.715196430683136,0.03445427864789963,0.8558518886566162,0.8131464719772339,0.9331782460212708,,,,,,
,0.0001,162,,,,,,,,,,,,
9,,179,,,,,,,0.9064247608184814,0.7105454802513123,0.03359021246433258,0.9513430595397949,0.7373413443565369,0.98293536901474
9,,179,0.9000879526138306,0.7309697866439819,0.03277887776494026,0.8619925379753113,0.8278537392616272,0.9353317022323608,,,,,,
,0.0001,180,,,,,,,,,,,,
10,,197,,,,,,,0.9185310006141663,0.7506153583526611,0.0312584713101387,0.9418222904205322,0.7871109843254089,0.9779989123344421
10,,197,0.9043711423873901,0.7347441911697388,0.030204374343156815,0.8904157876968384,0.8077890276908875,0.9514944553375244,,,,,,
,0.0001,198,,,,,,,,,,,,
11,,215,,,,,,,0.9083377718925476,0.7132466435432434,0.033981937915086746,0.9656000733375549,0.731842577457428,0.9882022738456726
11,,215,0.9094521403312683,0.7598901987075806,0.029683314263820648,0.8534815907478333,0.8738905191421509,0.926802933216095,,,,,,
,0.0001,216,,,,,,,,,,,,
12,,233,,,,,,,0.9172893166542053,0.7438199520111084,0.03238925710320473,0.9549520015716553,0.7708683609962463,0.9835451245307922
12,,233,0.9160333871841431,0.7635238170623779,0.02747371792793274,0.9089456796646118,0.8267598748207092,0.9595907330513,,,,,,
,0.0001,234,,,,,,,,,,,,
13,,251,,,,,,,0.912184476852417,0.7335641980171204,0.03203098103404045,0.9304932355880737,0.7760911583900452,0.9737670421600342
13,,251,0.9063733816146851,0.7469003200531006,0.03069450519979,0.8680351972579956,0.8425738215446472,0.9375017881393433,,,,,,
,0.0001,252,,,,,,,,,,,,
14,,269,,,,,,,0.9196368455886841,0.7492259740829468,0.031486622989177704,0.9641496539115906,0.7706966400146484,0.9870325922966003
14,,269,0.9145523309707642,0.7600096464157104,0.027913233265280724,0.9058330059051514,0.8252074718475342,0.95814448595047,,,,,,
,0.0001,270,,,,,,,,,,,,
15,,287,,,,,,,0.9183284640312195,0.7464922070503235,0.032312650233507156,0.9576597809791565,0.7719703316688538,0.9845558404922485
15,,287,0.9082562923431396,0.748910665512085,0.029260823503136635,0.8795685172080994,0.8344796895980835,0.9442525506019592,,,,,,
,0.0001,288,,,,,,,,,,,,
16,,305,,,,,,,0.9149665832519531,0.7373138070106506,0.03029889427125454,0.9514673352241516,0.7661271691322327,0.9823167324066162
16,,305,0.9069991111755371,0.7488393783569336,0.029645279049873352,0.8674532771110535,0.8455945253372192,0.936958909034729,,,,,,
,0.0001,306,,,,,,,,,,,,
17,,323,,,,,,,0.9197393655776978,0.7505410313606262,0.032135386019945145,0.959449827671051,0.7751287817955017,0.9851760268211365
17,,323,0.9091888666152954,0.7504321336746216,0.028024885803461075,0.8836399912834167,0.8327206969261169,0.9464983940124512,,,,,,
,0.0001,324,,,,,,,,,,,,
18,,341,,,,,,,0.9240252375602722,0.7688869833946228,0.02838609553873539,0.9362822771072388,0.8113411068916321,0.9750151038169861
18,,341,0.9109427332878113,0.7516500353813171,0.028689786791801453,0.8978073000907898,0.8219753503799438,0.9543506503105164,,,,,,
,0.0001,342,,,,,,,,,,,,
19,,359,,,,,,,0.9223923683166504,0.7591145634651184,0.030812779441475868,0.9582950472831726,0.7850499749183655,0.9845401048660278
19,,359,0.9176684021949768,0.7686153054237366,0.02738955430686474,0.9074130654335022,0.8340235352516174,0.9584795832633972,,,,,,
,0.0001,360,,,,,,,,,,,,
20,,377,,,,,,,0.9250227808952332,0.774278461933136,0.030066033825278282,0.9257298111915588,0.8255618810653687,0.9700290560722351
20,,377,0.9213186502456665,0.7833781242370605,0.02570151723921299,0.8896206021308899,0.8677181005477905,0.9474708437919617,,,,,,
,0.0001,378,,,,,,,,,,,,
21,,395,,,,,,,0.919815719127655,0.747771143913269,0.03096153400838375,0.9739027619361877,0.7630611062049866,0.9907475113868713
21,,395,0.9273821115493774,0.7973008155822754,0.02363385260105133,0.9039841294288635,0.8710667490959167,0.9548588991165161,,,,,,
,0.0001,396,,,,,,,,,,,,
22,,413,,,,,,,0.9242414236068726,0.7738425135612488,0.0276084765791893,0.9170465469360352,0.8320884108543396,0.9659408926963806
22,,413,0.9192658066749573,0.7743467092514038,0.02637658268213272,0.9026944637298584,0.8448683619499207,0.9555650949478149,,,,,,
,0.0001,414,,,,,,,,,,,,
23,,431,,,,,,,0.9187477231025696,0.7464349269866943,0.03211035951972008,0.9641001224517822,0.7677750587463379,0.9870632290840149
