epoch,lr-AdamW,step,train_acc,train_iou,train_loss,train_precision,train_sensitivity,train_specificity,val_acc,val_iou,val_loss,val_precision,val_sensitivity,val_specificity
19,,39,,,,,,,0.3361048996448517,0.11549634486436844,7.410502007587638e-07,0.11549634486436844,1.0,0.27308914065361023
19,,39,0.301506906747818,0.1057777926325798,1.04612536233617e-06,0.10577785223722458,0.9999946355819702,0.23859606683254242,,,,,,
,0.0001,40,,,,,,,,,,,,
20,,41,,,,,,,0.332627534866333,0.11496373265981674,5.461608907353366e-07,0.11496373265981674,1.0,0.26928168535232544
20,,41,0.29996854066848755,0.10557038336992264,2.240815319964895e-07,0.10557038336992264,1.0,0.23691867291927338,,,,,,
,0.0001,42,,,,,,,,,,,,
21,,43,,,,,,,0.32937851548194885,0.11447051167488098,4.27770743272049e-07,0.11447051167488098,1.0,0.2657243013381958
21,,43,0.30027148127555847,0.10561100393533707,7.317977406273712e-07,0.10561104118824005,0.9999973177909851,0.23724913597106934,,,,,,
,0.0001,44,,,,,,,,,,,,
22,,45,,,,,,,0.3254898190498352,0.11388573050498962,3.3446463021391537e-07,0.11388573050498962,1.0,0.26146650314331055
22,,45,0.29751473665237427,0.10524042695760727,6.040081643732265e-07,0.10524042695760727,1.0,0.23424385488033295,,,,,,
,0.0001,46,,,,,,,,,,,,
23,,47,,,,,,,0.3227936923503876,0.11348377168178558,2.7937366553487664e-07,0.11348377168178558,1.0,0.2585144340991974
23,,47,0.29988861083984375,0.10555960237979889,4.4265038923185784e-07,0.10555960237979889,1.0,0.23683153092861176,,,,,,
,0.0001,48,,,,,,,,,,,,
24,,49,,,,,,,0.3201347589492798,0.1130901351571083,2.3885777977739053e-07,0.1130901351571083,1.0,0.2556031346321106
24,,49,0.29897207021713257,0.10543613880872726,6.749522185600654e-07,0.10543613880872726,1.0,0.23583242297172546,,,,,,
,0.0001,50,,,,,,,,,,,,
25,,51,,,,,,,0.317739337682724,0.11273784190416336,2.0845637038746645e-07,0.11273784190416336,1.0,0.2529803514480591
25,,51,0.298957884311676,0.10543397814035416,2.670257686077093e-07,0.10543400794267654,0.9999973177909851,0.23581722378730774,,,,,,
,0.0001,52,,,,,,,,,,,,
26,,53,,,,,,,0.31519922614097595,0.11236665397882462,1.8280974245499237e-07,0.11236665397882462,1.0,0.2501991391181946
26,,53,0.29867687821388245,0.10539644211530685,3.2283278983413766e-07,0.10539644211530685,1.0,0.2355106621980667,,,,,,
,0.0001,54,,,,,,,,,,,,
27,,55,,,,,,,0.31290921568870544,0.11203410476446152,1.6229745369855664e-07,0.11203410476446152,1.0,0.24769176542758942
27,,55,0.2961652874946594,0.10505960136651993,3.5311799706505553e-07,0.10505963116884232,0.9999973177909851,0.2327730804681778,,,,,,
,0.0001,56,,,,,,,,,,,,
28,,57,,,,,,,0.31111007928848267,0.11177421361207962,1.4553356209034973e-07,0.11177421361207962,1.0,0.24572184681892395
28,,57,0.29773440957069397,0.1052698865532875,3.8811734270893794e-07,0.1052698865532875,1.0,0.23448331654071808,,,,,,
,0.0001,58,,,,,,,,,,,,
29,,59,,,,,,,0.3098296821117401,0.11158999055624008,1.375635179101664e-07,0.11158999055624008,1.0,0.24431993067264557
29,,59,0.2996361553668976,0.10552556812763214,2.688088045488257e-07,0.10552556812763214,1.0,0.23655635118484497,,,,,,
,0.0001,60,,,,,,,,,,,,
30,,61,,,,,,,0.30837053060531616,0.11138078570365906,1.270101535055801e-07,0.11138078570365906,1.0,0.2427222728729248
30,,61,0.29947009682655334,0.10550318658351898,1.977950176978993e-07,0.10550318658351898,1.0,0.23637530207633972,,,,,,
,0.0001,62,,,,,,,,,,,,
31,,63,,,,,,,0.30681112408638,0.11115808039903641,1.2293565987420152e-07,0.11115808039903641,1.0,0.24101485311985016
31,,63,0.29610416293144226,0.105051688849926,1.0055983779011513e-07,0.105051688849926,1.0,0.232706218957901,,,,,,
,0.0001,64,,,,,,,,,,,,
32,,65,,,,,,,0.3057725727558136,0.11101024597883224,1.1683992084954298e-07,0.11101024597883224,1.0,0.23987771570682526
32,,65,0.29761040210723877,0.10525325685739517,2.653263777574466e-07,0.10525325685739517,1.0,0.2343481332063675,,,,,,
,0.0001,66,,,,,,,,,,,,
33,,67,,,,,,,0.3041325509548187,0.1107776015996933,1.0756706814163408e-07,0.1107776015996933,1.0,0.23808203637599945
33,,67,0.2963973581790924,0.10509086400270462,3.8018274040041433e-07,0.10509086400270462,1.0,0.23302581906318665,,,,,,
,0.0001,68,,,,,,,,,,,,
34,,69,,,,,,,0.30337920784950256,0.11067105829715729,1.0092287539009703e-07,0.11067105829715729,1.0,0.237257182598114
34,,69,0.29621621966362,0.10506640374660492,2.1923975168647303e-07,0.10506643354892731,0.9999973177909851,0.23282860219478607,,,,,,
,0.0001,70,,,,,,,,,,,,
35,,71,,,,,,,0.30296894907951355,0.1106131300330162,9.388413246824712e-08,0.1106131300330162,1.0,0.23680798709392548
35,,71,0.2998281717300415,0.10555145144462585,2.773153653379268e-07,0.10555145144462585,1.0,0.23676562309265137,,,,,,
,0.0001,72,,,,,,,,,,,,
36,,73,,,,,,,0.30221766233444214,0.11050719022750854,9.262080169492037e-08,0.11050719022750854,1.0,0.2359853833913803
36,,73,0.29923248291015625,0.1054711863398552,1.7545177399824752e-07,0.1054711863398552,1.0,0.23611630499362946,,,,,,
,0.0001,74,,,,,,,,,,,,
37,,75,,,,,,,0.3012380003929138,0.11036936193704605,8.957120911645688e-08,0.11036936193704605,1.0,0.23491273820400238
37,,75,0.29957062005996704,0.10551673173904419,1.5547847453944996e-07,0.10551673173904419,1.0,0.23648490011692047,,,,,,
,0.0001,76,,,,,,,,,,,,
